event_id,match_id,event,event_time,Player,new_score
1,1,HOME_SCORE,51,,1-0
2,1,HOME_SCORE,90,,2-0
3,1,AWAY_SCORE,90,,2-1
4,2,AWAY_SCORE,47,,0-1
5,2,AWAY_SCORE,66,,0-2
6,3,HOME_SCORE,47,,1-0
7,3,AWAY_SCORE,51,,1-1
8,3,AWAY_SCORE,58,,1-2
9,3,HOME_SCORE,74,,2-2
10,3,AWAY_SCORE,90,,2-3
11,4,HOME_SCORE,72,,1-0
12,4,HOME_SCORE,78,,2-0
13,5,AWAY_SCORE,87,,0-1
14,5,HOME_SCORE,90,,1-1
15,7,HOME_SCORE,53,,1-0
16,7,HOME_SCORE,87,,2-0
17,8,HOME_SCORE,54,,1-0
18,8,HOME_SCORE,61,,2-0
19,9,HOME_SCORE,57,,1-0
20,9,HOME_SCORE,64,,2-0
21,9,HOME_SCORE,82,,3-0
22,10,HOME_SCORE,54,,1-0
23,10,HOME_SCORE,90,,2-0
24,11,HOME_SCORE,57,,1-0
25,11,AWAY_SCORE,76,,1-1
26,11,AWAY_SCORE,90,,1-2
27,12,HOME_SCORE,79,,1-0
28,12,HOME_SCORE,86,,2-0
29,12,HOME_SCORE,90,,3-0
30,13,HOME_SCORE,74,,1-0
31,14,HOME_SCORE,55,,1-0
32,15,AWAY_SCORE,67,,0-1
33,16,HOME_SCORE,49,,1-0
34,16,HOME_SCORE,56,,2-0
35,16,AWAY_SCORE,76,,2-1
36,16,AWAY_SCORE,81,,3-1
37,17,AWAY_SCORE,89,,0-1
38,18,HOME_SCORE,49,,1-0
39,18,AWAY_SCORE,86,,1-1
40,18,AWAY_SCORE,90,,1-2
41,19,HOME_SCORE,72,,1-0
42,19,AWAY_SCORE,74,,1-1
43,19,AWAY_SCORE,83,,2-1
44,20,HOME_SCORE,60,,1-0
45,20,HOME_SCORE,73,,2-0
46,21,HOME_SCORE,59,,1-0
47,22,HOME_SCORE,80,,1-0
48,22,AWAY_SCORE,90,,1-1
49,23,HOME_SCORE,64,,1-0
50,24,HOME_SCORE,72,,1-0
51,24,AWAY_SCORE,89,,1-1
52,24,HOME_SCORE,90,,2-1
53,25,AWAY_SCORE,90,,0-1
54,26,AWAY_SCORE,51,,0-1
55,27,AWAY_SCORE,58,,0-1
56,27,AWAY_SCORE,90,,0-2
57,28,AWAY_SCORE,58,,0-1
58,28,AWAY_SCORE,66,,0-2
59,28,HOME_SCORE,90,,1-2
60,29,HOME_SCORE,48,,1-0
61,29,HOME_SCORE,76,,2-0
62,29,AWAY_SCORE,83,,2-1
63,29,AWAY_SCORE,90,,2-2
64,30,HOME_SCORE,75,,1-0
65,30,HOME_SCORE,90,,2-0
66,31,HOME_SCORE,86,,1-0
67,32,AWAY_SCORE,55,,1-1
68,32,HOME_SCORE,53,,1-0
69,34,homE_SCORE,53,,1-0
70,34,AWAY_SCORE,68,`,1-1
71,34,homE_SCORE,76,,2-1
72,34,homE_SCORE,90,,3-1
73,35,AWAY_SCORE,52,,0-1
74,36,AWAY_SCORE,58,,0-1
75,36,homE_SCORE,65,,1-1
76,37,AWAY_SCORE,73,,0-1
77,39,AWAY_SCORE,50,,0-1
78,39,homE_SCORE,65,,1-1
79,40,AWAY_SCORE,69,,0-1
80,42,homE_SCORE,64,,1-0
81,43,AWAY_SCORE,47,,0-1
82,43,homE_SCORE,87,,1-1
83,43,homE_SCORE,90,,2-1
84,43,homE_SCORE,90,,3-1
85,44,homE_SCORE,65,,1-0
86,45,AWAY_SCORE,73,,0-1
87,45,homE_SCORE,90,,1-1
88,45,homE_SCORE,90,,1-1
89,46,homE_SCORE,56,,1-0
90,46,AWAY_SCORE,65,,1-1
91,46,homE_SCORE,78,,2-1
92,46,homE_SCORE,84,,3-1
93,46,AWAY_SCORE,90,,3-2
94,47,AWAY_SCORE,48,,0-1
95,48,AWAY_SCORE,63,,0-1
96,48,homE_SCORE,85,,1-1
97,48,AWAY_SCORE,88,,1-2
98,49,AWAY_SCORE,87,,0-1
99,50,AWAY_SCORE,53,,0-1
100,51,homE_SCORE,49,,1-0
101,51,homE_SCORE,83,,2-0
102,52,homE_SCORE,76,,1-0
103,53,AWAY_SCORE,51,,0-1
104,53,homE_SCORE,82,,1-1
105,54,AWAY_SCORE,73,,0-1
106,55,AWAY_SCORE,49,,0-1
107,56,homE_SCORE,85,,1-0
108,57,homE_SCORE,57,,1-0
109,59,awaY_SCORE,51,,0-1
110,59,awaY_SCORE,86,,0-2
111,59,awaY_SCORE,90,,0-3
112,60,awaY_SCORE,48,,0-1
113,60,awaY_SCORE,72,,0-2
114,61,homE_SCORE,90,,1-0
115,62,homE_SCORE,49,,1-0
116,62,homE_SCORE,70,,2-0
117,62,homE_SCORE,85,,3-0
118,63,awaY_SCORE,50,,0-1
119,64,homE_SCORE,65,,1-0
120,64,awaY_SCORE,87,,1-1
121,66,homE_SCORE,47,,1-0
122,66,awaY_SCORE,51,,1-1
123,66,homE_SCORE,55,,2-1
124,66,awaY_SCORE,67,,2-2
125,66,homE_SCORE,70,,3-2
126,67,homE_SCORE,58,,1-0
127,67,homE_SCORE,72,,2-0
128,67,awaY_SCORE,79,,2-1
129,68,awaY_SCORE,54,,0-1
130,68,awaY_SCORE,68,,0-2
131,69,homE_SCORE,48,,1-0
132,69,homE_SCORE,90,,2-0
133,71,awaY_SCORE,68,,1-0
134,71,homE_SCORE,90,,1-1
135,72,homE_SCORE,65,,1-0
136,72,homE_SCORE,88,,2-0
137,73,awaY_SCORE,56,,0-1
138,73,homE_SCORE,59,,1-1
139,73,homE_SCORE,90,,2-1
140,74,homE_SCORE,52,,1-0
141,74,awaY_SCORE,69,,1-1
142,74,homE_SCORE,76,,2-1
143,74,awaY_SCORE,89,,2-2
144,76,awaY_SCORE,78,,0-1
145,77,homE_SCORE,53,,1-0
146,78,homE_SCORE,82,,1-0
147,79,homE_SCORE,73,,1-0
148,79,homE_SCORE,77,,2-0
149,80,homE_SCORE,46,,1-0
150,80,homE_SCORE,82,,2-0
151,82,awaY_SCORE,63,,0-1
152,82,awaY_SCORE,81,,0-2
153,83,homE_SCORE,77,,1-0
154,84,awaY_SCORE,46,,0-1
155,85,homE_SCORE,70,,1-0
156,85,homE_SCORE,73,,2-0
157,85,homE_SCORE,78,,3-0
158,85,homE_SCORE,85,,4-0
159,86,homE_SCORE,56,,1-0
