id,match_date,match_time,country,competition,home_team,away_team,home_team_table_position,away_team_position,home_team_ht_score,away_team_ht_score,home_team_ft_score,away_team_ft_score
1,12/24/2023,14:00:00,England,Premier League,Wolves,Chelsea,,,0,0,2,1
2,12/23/2023,16:00:00,England,Premier League,Fulham,Burnley,,,0,0,0,2
3,12//23/2023,16:00:00,England,Premier League,Nottingham,Bournemouth,,,0,0,2,3
4,12-23/2023,13:30:00,England,Premier League,West Ham,Manchester Utd,,,0,0,2,0
5,12/22/2023,21:00:00,England,Premier League,Aston Villa,Sheffield Utd,,,0,0,1,1
6,12/17/2023,17:30:00,England,Premier League,Liverpool,Manchester Utd,,,0,0,0,0
7,12/17/2023,15:00:00,England,Premier League,Arsenal,Brighton,,,0,0,2,0
8,12/16/2023,16:00:00,England,Premier League,Chelsea,Sheffield Utd,,,0,0,2,0
9,12/16/2023,16:00:00,England,Premier League,Newcastle,Fulham,,,0,0,3,0
10,12/10/23,15:00:00,England,Premier League,Everton,Chelsea,,,0,0,2,0
11,12/09/23,13:30:00,England,Premier League,Crystal Palace,Liverpool,,,0,0,1,2
12,12/07/23,20:30:00,England,Premier League,Everton,Newcastle,,,0,0,3,0
13,12/06/23,21:15:00,England,Premier League,Aston Villa,Manchester City,,,0,0,1,0
14,12/02/23,21:00:00,England,Premier League,Newcastle,Manchester Utd,,,0,0,1,0
15,12/02/23,,England,Premier League,Nottingham,Everton,,,0,0,0,1
16,12/02/23,16:00:00,England,Premier League,Brentford,Luton,,,0,0,3,1
17,11/25/23,,England,Premier League,Brentford,Arsenal,,,0,0,0,1
18,11/25/23,,England,Premier League,Burnley,West Ham,,,0,0,1,2
19,11/25/23,,England,Premier League,Luton,Crystal Palace,,,0,0,2,1
20,11/11/23,,England,Premier League,Bournemouth,Newcastle,,,0,0,2,0
21,11/11/23,,England,Premier League,Manchester Utd,Luton,,,0,0,1,0
22,11/05/23,,England,Premier League,Luton,Liverpool,,,0,0,1,1
23,11/04/23,,England,Premier League,Newcastle,Arsenal,,,0,0,1,0
24,11/04/23,,England,Premier League,Sheffield Utd,Wolves,,,0,0,2,1
25,11/04/23,,England,Premier League,Fulham,Manchester Utd,,,0,0,0,1
26,10/29/23,,England,Premier League,West Ham,Everton,,,0,0,0,1
27,10/28/23,,England,Premier League,Chelsea,Brentford,,,0,0,0,2
28,10/27/23,,England,Premier League,Crystal Palace,Tottenham,,,0,0,1,2
29,10/21/23,,England,Premier League,Nottingham,Luton,,,0,0,2,2
30,10/21/23,,England,Premier League,Liverpool,Everton,,,0,0,2,0
31,10/8/23,,England,Premier League,Arsenal,Manchester City,,,0,0,1,0
32,10/8/23,,England,Premier League,Wolves,Arsenal,,,0,0,1,1
33,10/7/23,,England,Premier League,Crystal Palace,Nottingham,,,0,0,0,0
34,10/7/23,,England,premier League,Fulham,Sheffield Utd,,,0,0,3,1
35,10/7/23,,England,premier League,Luton,Tottenham,,,0,0,0,1
36,10/1/23,,England,premier League,Nottingham,Brentford,,,0,0,1,1
37,9/24/23,,England,premier League,Chelsea,Aston Villa,,,0,0,0,1
38,9/23/23,,england,premier League,Crystal Palace,Fulham,,,0,0,0,0
39,9/23/23,,england,premier League,Luton,Wolves,,,0,0,1,1
40,9/17/23,,england,premier League,Everton,Arsenal,,,0,0,0,1
41,9/17/23,,england,premier League,Bournemouth,Chelsea,,,0,0,0,0
42,9/16/23,,england,premier League,Newcastle,Brentford,,,0,0,1,0
43,9/16/23,,england,premier League,Aston Villa,Crystal Palace,,,0,0,3,1
44,9/16/23,,england,premier League,Fulham,Luton,,,0,0,1,0
45,9/16/23,,england,premier League,Tottenham,Sheffield Utd,,,0,0,2,1
46,9/3/23,,england,premier League,Crystal Palace,Wolves,,,0,0,3,2
47,9/2/23,,england,premier League,Chelsea,Nottingham,,,0,0,0,1
48,8/28/23,,england,premier League,Sheffield Utd,Manchester City,,,0,0,1,2
49,8/26/23,,england,premier League,Everton,Wolves,,,0,0,0,1
50,8/21/23,,england,premier League,Crystal Palace,Arsenal,,,0,0,0,1
51,8/19/23,,england,premier League,Tottenham,Manchester Utd,,,0,0,2,0
52,8/14/23,,england,premier League,Manchester Utd,Wolves,,,0,0,1,0
53,8/12/23,,england,premier League,Bournemouth,West Ham,,,0,0,1,1
54,8/12/23,,england,premier League,everton,fulham,,,0,0,0,1
55,8/12/23,,england,premier League,Sheffield Utd,crystal Palace,,,0,0,0,1
56,5/28/23,,england,premier League,Brentford,manchester city,,,0,0,1,0
57,5/28/23,,england,premier League,everton,Bournemouth,,,0,0,1,0
58,5/22/23,,england,premier League,Newcastle,leicester,,,0,0,0,0
59,5/14/23,,england,premier League,arsenal,Brighton,,,0,0,0,3
60,5/13/23,,england,premier League,southampton,fulham,,,0,0,0,2
61,5/4/23,,england,premier League,brighton,Manchester Utd,,,0,0,1,0
62,5/3/23,,england,premier League,manchester city,west Ham,,,0,0,3,0
63,4/27/23,,england,premier League,southampton,Bournemouth,,,0,0,0,1
64,4/22/23,,england,premier League,brentford,Aston Villa,,,0,0,1,1
65,4/22/23,,england,premier League,Crystal Palace,everton,,,0,0,0,0
66,4/22/23,,england,premier League,liverpool,Nottingham,,,0,0,3,2
67,4/22/23,,england,premier League,fulham,leeds,,,0,0,2,1
68,4/15/23,,england,premier League,southampton,crystal Palace,,,0,0,0,2
69,4/8/23,,england,premier League,Aston Villa,Nottingham,,,0,0,2,0
70,4/4/23,,england,premier League,Chelsea,Liverpool,,,0,0,0,0
71,4/3/23,,england,premier League,everton,Tottenham,,,0,0,2,0
72,4/2/23,,england,premier League,Newcastle,Manchester Utd,,,0,0,2,0
73,4/1/23,,england,premier League,crystal Palace,leicester,,,0,0,2,1
74,3/18/23,,england,premier League,Chelsea,everton,,,0,0,2,2
75,3/12/23,,england,premier League,Manchester Utd,southampton,,,0,0,0,0
76,3/11/23,,england,premier League,crystal Palace,manchester city,,,0,0,0,1
77,3/2/23,,england,premier League,Chelsea,leeds,,,0,0,1,0
78,3/4/23,,england,premier League,Wolves,Tottenham,,,0,0,1,0
79,3/1/23,,england,premier League,liverpool,Wolves,,,0,0,2,0
80,2/26/23,,england,premier League,Tottenham,Chelsea,,,0,0,2,0
81,2/26/23,,england,premier League,crystal Palace,liverpool,,,0,0,0,0
